Namespace(Cluster_gamma=0.01, Feature_alpha=1.0, Label_beta=0.05, Use_tSNE=True, arch='resnet20_1w1a', batch_size=128, epochs=700, evaluate=False, lr=0.1, momentum=0.9, num_classes=10, print_freq=50, resume='', save_dir='saveModel-000', save_every=100, seed=2023, start_epoch=0, temperature=4.0, warm_up_epochs=8, weight_decay=0.0001, workers=4)
Epoch	train_loss	val_loss	train_acc	val_acc	
552	0.518	0.514	84.746	82.252
553	0.512	0.468	85.052	84.075
554	0.511	0.505	84.968	82.752
555	0.510	0.526	85.064	81.791
556	0.514	0.493	84.946	82.702
557	0.512	0.495	85.268	83.163
558	0.504	0.485	85.343	83.273
559	0.504	0.472	85.341	83.954
560	0.505	0.510	85.150	83.073
561	0.502	0.502	85.561	82.833
562	0.502	0.537	85.441	81.571
563	0.493	0.503	85.685	82.422
564	0.494	0.476	85.573	83.964
565	0.497	0.486	85.563	83.403
566	0.492	0.496	85.789	82.612
567	0.490	0.478	85.887	83.674
568	0.488	0.480	85.942	83.013
569	0.485	0.455	86.034	84.415
570	0.483	0.472	86.190	83.964
571	0.488	0.505	85.889	82.622
572	0.486	0.454	86.066	84.445
573	0.483	0.493	86.154	83.043
574	0.477	0.457	86.358	84.335
575	0.481	0.514	86.082	82.342
576	0.472	0.474	86.404	83.974
577	0.474	0.475	86.442	84.175
578	0.469	0.458	86.641	84.155
579	0.469	0.469	86.679	83.864
580	0.458	0.473	87.031	83.964
581	0.465	0.444	86.849	84.776
582	0.463	0.461	86.691	84.065
583	0.464	0.455	86.897	84.215
584	0.463	0.444	86.679	84.896
585	0.459	0.443	86.973	84.766
586	0.453	0.457	87.151	84.295
587	0.453	0.440	87.214	85.136
588	0.455	0.443	87.196	84.966
589	0.454	0.445	87.198	84.625
590	0.450	0.442	87.270	84.816
591	0.447	0.461	87.474	84.105
592	0.448	0.443	87.338	85.116
593	0.441	0.448	87.626	84.706
594	0.445	0.443	87.416	84.856
595	0.441	0.438	87.670	85.597
596	0.441	0.436	87.522	84.986
597	0.441	0.434	87.650	85.046
598	0.436	0.439	87.778	84.796
599	0.439	0.450	87.646	84.635
600	0.436	0.458	87.802	84.385
601	0.438	0.432	87.865	85.096
602	0.432	0.427	87.931	85.266
603	0.429	0.422	88.149	85.507
604	0.434	0.433	87.644	85.076
605	0.431	0.430	88.009	84.876
606	0.429	0.425	88.087	85.276
607	0.426	0.432	88.123	85.317
608	0.428	0.431	88.023	85.236
609	0.425	0.432	88.149	85.176
610	0.425	0.434	88.159	85.387
611	0.426	0.410	88.173	86.068
612	0.422	0.414	88.305	86.098
613	0.427	0.412	88.205	85.978
614	0.424	0.418	88.125	85.226
615	0.418	0.406	88.562	85.677
616	0.419	0.415	88.323	85.517
617	0.415	0.416	88.514	85.767
618	0.415	0.417	88.582	85.597
619	0.410	0.414	88.734	85.637
620	0.416	0.411	88.425	85.687
621	0.413	0.414	88.638	85.988
622	0.416	0.416	88.377	85.978
623	0.414	0.416	88.598	85.787
624	0.414	0.410	88.492	85.897
625	0.410	0.402	88.558	86.428
626	0.411	0.412	88.676	86.148
627	0.412	0.411	88.508	86.228
628	0.410	0.417	88.750	85.717
629	0.409	0.412	88.680	85.827
630	0.410	0.413	88.656	85.857
631	0.409	0.407	88.532	86.158
632	0.407	0.416	88.830	85.948
633	0.409	0.422	88.696	85.557
634	0.407	0.405	88.694	85.917
635	0.407	0.417	88.828	85.787
636	0.401	0.410	88.892	86.038
637	0.404	0.403	89.091	86.278
638	0.404	0.406	88.698	86.038
639	0.401	0.399	89.061	86.268
640	0.402	0.407	88.806	86.068
641	0.403	0.410	88.948	86.238
642	0.402	0.402	89.022	86.318
643	0.402	0.407	88.996	86.408
644	0.402	0.405	88.960	86.248
645	0.398	0.402	88.992	86.138
646	0.403	0.398	88.950	86.298
647	0.399	0.409	88.960	86.028
648	0.401	0.401	89.097	86.508
649	0.400	0.406	88.940	86.128
650	0.397	0.403	89.089	86.418
651	0.397	0.403	89.163	85.917
652	0.397	0.407	89.103	85.998
653	0.397	0.409	89.147	86.018
654	0.397	0.396	88.984	86.829
655	0.398	0.399	89.199	86.208
656	0.398	0.397	89.042	86.388
657	0.397	0.404	89.121	86.248
658	0.396	0.406	89.187	86.348
659	0.397	0.394	89.129	86.488
660	0.397	0.400	89.073	86.188
661	0.393	0.403	89.241	86.358
662	0.396	0.397	89.093	86.058
663	0.393	0.399	89.040	86.308
664	0.394	0.401	89.341	86.388
665	0.395	0.396	89.283	86.278
666	0.394	0.398	89.281	86.198
667	0.392	0.398	89.377	86.368
668	0.395	0.397	89.251	86.378
669	0.391	0.395	89.395	86.518
670	0.392	0.395	89.311	86.528
671	0.389	0.394	89.301	86.498
672	0.392	0.397	89.299	86.769
673	0.391	0.396	89.349	86.689
674	0.388	0.395	89.565	86.428
675	0.389	0.396	89.475	86.418
676	0.386	0.401	89.607	86.308
677	0.385	0.395	89.597	86.528
678	0.389	0.399	89.437	86.198
679	0.389	0.397	89.333	86.478
680	0.392	0.400	89.305	86.448
681	0.389	0.391	89.503	86.368
682	0.388	0.393	89.355	86.779
683	0.385	0.395	89.643	86.368
684	0.388	0.397	89.441	86.619
685	0.386	0.391	89.537	86.659
686	0.387	0.395	89.483	86.458
687	0.383	0.396	89.595	86.679
688	0.389	0.400	89.381	86.388
689	0.382	0.392	89.758	86.428
690	0.385	0.395	89.581	86.358
691	0.384	0.384	89.607	86.989
692	0.386	0.390	89.541	86.528
693	0.385	0.390	89.521	86.829
694	0.386	0.395	89.531	86.659
695	0.385	0.392	89.537	86.548
696	0.383	0.387	89.529	86.699
697	0.385	0.391	89.487	86.639
698	0.385	0.383	89.661	87.149
699	0.383	0.391	89.581	86.538
